"country_info","lang","n"
"Algeria","ar",150
"Armenia","ar",1
"Austria","ar",9
"Azerbaijan","ar",6
"Belgium","ar",7
"Bosnia and Herzegovina","ar",1
"Bulgaria","ar",3
"Czech Republic","ar",1
"Denmark","ar",5
"Denmark:Sjaelland","ar",1
"Finland","ar",2
"France","ar",46
"Germany","ar",78
"Greece","ar",1
"Iran","ar",2
"Iraq","ar",440
"Ireland","ar",7
"Italy","ar",44
"Netherlands","ar",7
"Norway","ar",5
"Poland","ar",5
"Russia","ar",5
"Spain","ar",24
"Sweden","ar",4
"Switzerland","ar",5
"Syria","ar",35
"Tunisia","ar",45
"Turkey","ar",31
"Turkey:North","ar",12
"UK:Great Britain","ar",224
"Ukraine","ar",1
"Belarus","bg",1
"Bosnia and Herzegovina","bg",1
"Bulgaria","bg",24
"Germany","bg",5
"Italy","bg",1
"Kazakhstan","bg",1
"Macedonia","bg",2
"Netherlands","bg",3
"Russia","bg",16
"Serbia","bg",1
"Ukraine","bg",6
"Uzbekistan","bg",4
"Iceland","bn",2
"Italy","bn",1
"Andorra","ca",2
"Austria","ca",1
"Azerbaijan","ca",1
"Belgium","ca",1
"Bosnia and Herzegovina","ca",1
"France","ca",24
"Germany","ca",4
"Hungary","ca",2
"Ireland","ca",4
"Italy","ca",5
"Italy:Sicily","ca",1
"Malta","ca",1
"Netherlands","ca",5
"Poland","ca",1
"Portugal","ca",6
"Spain","ca",780
"Spain:Ibiza","ca",6
"Spain:Majorca","ca",12
"Sweden","ca",1
"Switzerland","ca",3
"Tunisia","ca",1
"Turkey","ca",4
"UK:Great Britain","ca",13
"UK:Northern Ireland","ca",1
"Iraq","ckb",18
"Austria","cs",1
"Bosnia and Herzegovina","cs",3
"Czech Republic","cs",176
"Estonia","cs",4
"Finland","cs",1
"France","cs",2
"Germany","cs",6
"Italy","cs",4
"Italy:Sicily","cs",1
"Montenegro","cs",1
"Poland","cs",2
"Romania","cs",1
"Russia","cs",2
"Serbia","cs",6
"Slovenia","cs",1
"Spain","cs",9
"Sweden","cs",2
"Turkey","cs",6
"UK:Great Britain","cs",14
"UK:Northern Ireland","cs",1
"Ukraine","cs",1
"Germany","cy",4
"Greece","cy",1
"Iraq","cy",1
"Ireland","cy",1
"Italy","cy",3
"Malta","cy",1
"Netherlands","cy",1
"Portugal","cy",1
"Spain","cy",7
"Turkey","cy",8
"UK:Great Britain","cy",50
"Belgium","da",5
"Bosnia and Herzegovina","da",1
"Bulgaria","da",1
"Denmark","da",17
"Denmark:Bornholm","da",1
"Denmark:Fyn","da",4
"Denmark:Sjaelland","da",78
"Estonia","da",2
"Finland","da",1
"France","da",8
"Germany","da",11
"Italy","da",1
"Netherlands","da",1
"Norway","da",13
"Poland","da",2
"Russia","da",2
